Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,0.0,1.2,98.8,0.0,0.0,0.0,100.0,0.0,0.0,11.2,88.8
Praise,100.0,0.0,0.0,0.0,98.8,1.2,0.0,0.0,100.0,0.0,0.0,0.0
Criticism,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Warning,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Reconciliation,68.8,27.5,3.8,0.0,87.5,12.5,0.0,0.0,55.0,42.5,2.5,0.0
Confrontation,81.2,18.8,0.0,0.0,92.5,7.5,0.0,0.0,68.8,31.2,0.0,0.0
Guidance,0.0,12.5,56.2,31.2,0.0,16.2,71.2,12.5,0.0,1.2,60.0,38.8
Religion,41.2,41.2,17.5,0.0,88.8,8.8,2.5,0.0,28.7,53.8,17.5,0.0
