Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Praise,6.2,40.0,53.8,0.0,3.8,11.2,83.8,1.2,5.0,23.8,70.0,1.2
Criticism,97.5,2.5,0.0,0.0,98.8,0.0,1.2,0.0,96.2,3.8,0.0,0.0
Warning,8.8,67.5,23.8,0.0,7.5,63.7,27.5,1.2,1.2,43.8,53.8,1.2
Reconciliation,97.5,2.5,0.0,0.0,95.0,5.0,0.0,0.0,97.5,1.2,1.2,0.0
Confrontation,10.0,35.0,55.0,0.0,12.5,63.7,23.8,0.0,10.0,37.5,52.5,0.0
Guidance,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Religion,0.0,0.0,0.0,100.0,0.0,17.5,62.5,20.0,0.0,0.0,0.0,100.0
