Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,76.2,23.8,0.0,0.0,77.5,22.5,0.0,0.0,87.5,12.5,0.0
Praise,96.2,3.8,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Criticism,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Warning,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Reconciliation,0.0,0.0,91.2,8.8,0.0,0.0,95.0,5.0,0.0,0.0,92.5,7.5
Confrontation,97.5,2.5,0.0,0.0,85.0,15.0,0.0,0.0,86.2,13.8,0.0,0.0
Guidance,0.0,0.0,27.5,72.5,0.0,0.0,20.0,80.0,0.0,0.0,30.0,70.0
Religion,57.5,42.5,0.0,0.0,46.2,52.5,1.2,0.0,40.0,56.2,3.8,0.0
