Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,0.0,97.5,2.5,0.0,0.0,100.0,0.0,0.0,0.0,97.5,2.5
Praise,98.8,1.2,0.0,0.0,98.8,1.2,0.0,0.0,100.0,0.0,0.0,0.0
Criticism,0.0,80.0,20.0,0.0,1.2,96.2,2.5,0.0,0.0,73.8,26.2,0.0
Warning,7.5,85.0,7.5,0.0,31.2,68.8,0.0,0.0,10.0,77.5,12.5,0.0
Reconciliation,0.0,0.0,95.0,5.0,0.0,0.0,98.8,1.2,0.0,6.2,93.8,0.0
Confrontation,0.0,93.8,6.2,0.0,0.0,92.5,7.5,0.0,0.0,73.8,26.2,0.0
Guidance,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Religion,0.0,0.0,60.0,40.0,71.2,27.5,1.2,0.0,1.2,25.0,73.8,0.0
