Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,0.0,33.8,66.2,0.0,0.0,0.0,100.0,0.0,0.0,12.5,87.5
Praise,92.5,7.5,0.0,0.0,83.8,13.8,2.5,0.0,90.0,8.8,1.2,0.0
Criticism,98.8,0.0,1.2,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Warning,28.7,63.7,7.5,0.0,87.5,12.5,0.0,0.0,51.2,48.8,0.0,0.0
Reconciliation,0.0,0.0,95.0,5.0,1.2,0.0,98.8,0.0,1.2,0.0,93.8,5.0
Confrontation,0.0,97.5,2.5,0.0,0.0,56.2,43.8,0.0,10.0,90.0,0.0,0.0
Guidance,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Religion,0.0,0.0,0.0,100.0,0.0,0.0,86.2,13.8,0.0,0.0,0.0,100.0
