Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,0.0,36.2,63.7,0.0,0.0,16.2,83.8,0.0,0.0,48.8,51.2
Praise,55.0,42.5,2.5,0.0,25.0,58.8,16.2,0.0,52.5,43.8,3.8,0.0
Criticism,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Warning,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Reconciliation,0.0,3.8,96.2,0.0,0.0,13.8,86.2,0.0,0.0,12.5,87.5,0.0
Confrontation,98.8,1.2,0.0,0.0,97.5,2.5,0.0,0.0,98.8,1.2,0.0,0.0
Guidance,0.0,6.2,27.5,66.2,0.0,16.2,46.2,37.5,0.0,0.0,28.7,71.2
Religion,11.2,57.5,31.2,0.0,97.5,2.5,0.0,0.0,50.0,35.0,15.0,0.0
