Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,0.0,63.7,36.2,0.0,0.0,41.2,58.8,0.0,0.0,58.8,41.2
Praise,77.5,22.5,0.0,0.0,91.2,8.8,0.0,0.0,90.0,10.0,0.0,0.0
Criticism,93.8,6.2,0.0,0.0,96.2,3.8,0.0,0.0,100.0,0.0,0.0,0.0
Warning,78.8,21.2,0.0,0.0,92.5,7.5,0.0,0.0,81.2,18.8,0.0,0.0
Reconciliation,0.0,0.0,81.2,18.8,0.0,0.0,95.0,5.0,0.0,0.0,93.8,6.2
Confrontation,63.7,36.2,0.0,0.0,42.5,57.5,0.0,0.0,13.8,86.2,0.0,0.0
Guidance,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Religion,0.0,13.8,67.5,18.8,11.2,71.2,17.5,0.0,0.0,2.5,48.8,48.8
