Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Praise,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,96.2,3.8,0.0,0.0
Criticism,0.0,0.0,60.0,40.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,100.0
Warning,0.0,23.8,58.8,17.5,0.0,0.0,6.2,93.8,0.0,0.0,8.8,91.2
Reconciliation,2.5,55.0,41.2,1.2,56.2,43.8,0.0,0.0,52.5,47.5,0.0,0.0
Confrontation,0.0,0.0,95.0,5.0,0.0,0.0,91.2,8.8,0.0,0.0,91.2,8.8
Guidance,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Religion,0.0,1.2,37.5,61.3,37.5,62.5,0.0,0.0,0.0,21.2,65.0,13.8
