Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,26.2,73.8,0.0,0.0,18.8,81.2,0.0,0.0,61.3,38.8,0.0
Praise,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Criticism,85.0,15.0,0.0,0.0,85.0,15.0,0.0,0.0,75.0,25.0,0.0,0.0
Warning,97.5,2.5,0.0,0.0,95.0,5.0,0.0,0.0,91.2,8.8,0.0,0.0
Reconciliation,0.0,0.0,33.8,66.2,0.0,0.0,72.5,27.5,0.0,0.0,66.2,33.8
Confrontation,43.8,56.2,0.0,0.0,61.3,38.8,0.0,0.0,30.0,70.0,0.0,0.0
Guidance,0.0,0.0,17.5,82.5,0.0,1.2,35.0,63.7,0.0,0.0,10.0,90.0
Religion,26.2,61.3,12.5,0.0,97.5,2.5,0.0,0.0,53.8,45.0,1.2,0.0
