Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,13.8,85.0,1.2,0.0,0.0,83.8,16.2,0.0,0.0,97.5,2.5
Praise,100.0,0.0,0.0,0.0,86.2,13.8,0.0,0.0,98.8,1.2,0.0,0.0
Criticism,60.0,36.2,3.8,0.0,100.0,0.0,0.0,0.0,98.8,1.2,0.0,0.0
Warning,0.0,90.0,10.0,0.0,41.2,58.8,0.0,0.0,10.0,90.0,0.0,0.0
Reconciliation,0.0,11.2,88.8,0.0,0.0,0.0,97.5,2.5,0.0,10.0,90.0,0.0
Confrontation,2.5,95.0,2.5,0.0,18.8,81.2,0.0,0.0,1.2,98.8,0.0,0.0
Guidance,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Religion,0.0,0.0,0.0,100.0,0.0,37.5,62.5,0.0,0.0,0.0,23.8,76.2
