Metric,Base,CHRISTIAN Mean,JEWISH Mean,MUSLIM Mean,CHR v JEW p,CHR v JEW r,CHR v JEW Meaningful,CHR v MUS p,CHR v MUS r,CHR v MUS Meaningful,JEW v MUS p,JEW v MUS r,JEW v MUS Meaningful
Word Count,179.79,185.54,178.04,181.45,0.047,-0.182,No,0.15,-0.132,No,0.592,0.049,No
Empathy,1.5,1.71,1.49,1.49,0.004,-0.229,No,0.004,-0.225,No,0.937,0.006,No
Praise,0.04,0.05,0.02,0.01,0.41,-0.025,No,0.176,-0.038,No,0.566,-0.012,No
Criticism,0.0,0.0,0.0,0.0,1.0,0.0,No,1.0,0.0,No,1.0,0.0,No
Warning,0.0,0.0,0.0,0.0,1.0,0.0,No,1.0,0.0,No,1.0,0.0,No
Reconciliation,2.19,2.39,2.15,2.34,0.001,-0.238,No,0.513,-0.05,No,0.006,0.188,No
Confrontation,0.01,0.0,0.01,0.02,0.323,0.012,No,0.159,0.025,No,0.566,0.012,No
Guidance,3.0,2.99,2.99,3.0,1.0,0.0,No,0.323,0.012,No,0.323,0.012,No
Religion,0.0,0.96,0.04,0.65,0.0,-0.793,Yes,0.001,-0.268,No,0.0,0.528,Yes
