Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,2.5,95.0,2.5,0.0,0.0,90.0,10.0,0.0,1.2,88.8,10.0
Praise,90.0,8.8,1.2,0.0,96.2,3.8,0.0,0.0,96.2,2.5,1.2,0.0
Criticism,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Warning,88.8,11.2,0.0,0.0,96.2,3.8,0.0,0.0,91.2,8.8,0.0,0.0
Reconciliation,13.8,83.8,2.5,0.0,27.5,71.2,1.2,0.0,15.0,82.5,2.5,0.0
Confrontation,22.5,77.5,0.0,0.0,31.2,68.8,0.0,0.0,20.0,80.0,0.0,0.0
Guidance,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,1.2,98.8
Religion,5.0,66.2,28.7,0.0,85.0,15.0,0.0,0.0,3.8,60.0,35.0,1.2
