Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,0.0,0.0,100.0,0.0,0.0,2.5,97.5,0.0,0.0,0.0,100.0
Praise,88.8,10.0,1.2,0.0,92.5,7.5,0.0,0.0,90.0,8.8,1.2,0.0
Criticism,1.2,26.2,68.8,3.8,0.0,1.2,51.2,47.5,0.0,0.0,51.2,48.8
Warning,57.5,38.8,3.8,0.0,13.8,75.0,11.2,0.0,26.2,68.8,5.0,0.0
Reconciliation,0.0,0.0,50.0,50.0,12.5,30.0,57.5,0.0,0.0,12.5,87.5,0.0
Confrontation,6.2,72.5,21.2,0.0,0.0,12.5,83.8,3.8,0.0,25.0,73.8,1.2
Guidance,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Religion,0.0,0.0,22.5,77.5,63.7,31.2,5.0,0.0,0.0,0.0,45.0,55.0
