Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,1.2,97.5,1.2,0.0,10.0,88.8,1.2,0.0,8.8,91.2,0.0,0.0
Praise,98.8,1.2,0.0,0.0,100.0,0.0,0.0,0.0,98.8,1.2,0.0,0.0
Criticism,100.0,0.0,0.0,0.0,95.0,5.0,0.0,0.0,95.0,5.0,0.0,0.0
Warning,96.2,3.8,0.0,0.0,93.8,6.2,0.0,0.0,97.5,2.5,0.0,0.0
Reconciliation,0.0,35.0,65.0,0.0,0.0,27.5,72.5,0.0,0.0,33.8,66.2,0.0
Confrontation,45.0,55.0,0.0,0.0,25.0,73.8,1.2,0.0,45.0,55.0,0.0,0.0
Guidance,0.0,0.0,5.0,95.0,0.0,0.0,7.5,92.5,0.0,0.0,1.2,98.8
Religion,22.5,67.5,10.0,0.0,63.7,36.2,0.0,0.0,33.8,66.2,0.0,0.0
