Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,10.0,87.5,2.5,0.0,15.0,76.2,8.8,0.0,2.5,97.5,0.0
Praise,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,98.8,1.2,0.0,0.0
Criticism,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Warning,62.5,35.0,2.5,0.0,75.0,25.0,0.0,0.0,62.5,37.5,0.0,0.0
Reconciliation,0.0,0.0,76.2,23.8,0.0,0.0,90.0,10.0,0.0,0.0,58.8,41.2
Confrontation,11.2,88.8,0.0,0.0,2.5,95.0,2.5,0.0,58.8,41.2,0.0,0.0
Guidance,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Religion,0.0,0.0,30.0,70.0,11.2,51.2,32.5,5.0,0.0,22.5,38.8,38.8
