Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Praise,0.0,3.8,96.2,0.0,0.0,1.2,88.8,10.0,0.0,1.2,96.2,2.5
Criticism,70.0,25.0,5.0,0.0,12.5,72.5,15.0,0.0,11.2,65.0,23.8,0.0
Warning,98.8,1.2,0.0,0.0,100.0,0.0,0.0,0.0,92.5,7.5,0.0,0.0
Reconciliation,0.0,36.2,63.7,0.0,3.8,77.5,18.8,0.0,11.2,76.2,12.5,0.0
Confrontation,38.8,57.5,3.8,0.0,8.8,80.0,11.2,0.0,8.8,80.0,11.2,0.0
Guidance,0.0,0.0,1.2,98.8,0.0,0.0,15.0,85.0,0.0,0.0,2.5,97.5
Religion,0.0,2.5,31.2,66.2,66.2,31.2,2.5,0.0,6.2,20.0,45.0,28.7
