Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,42.5,55.0,2.5,0.0,47.5,52.5,0.0,0.0,45.0,55.0,0.0
Praise,82.5,17.5,0.0,0.0,100.0,0.0,0.0,0.0,91.2,8.8,0.0,0.0
Criticism,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Warning,82.5,17.5,0.0,0.0,90.0,10.0,0.0,0.0,85.0,15.0,0.0,0.0
Reconciliation,0.0,3.8,92.5,3.8,0.0,0.0,88.8,11.2,0.0,8.8,91.2,0.0
Confrontation,53.8,45.0,1.2,0.0,67.5,32.5,0.0,0.0,50.0,48.8,1.2,0.0
Guidance,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Religion,3.8,50.0,25.0,21.2,27.5,38.8,32.5,1.2,5.0,57.5,16.2,21.2
