Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,30.0,70.0,0.0,0.0,10.0,85.0,5.0,0.0,28.7,71.2,0.0
Praise,98.8,1.2,0.0,0.0,100.0,0.0,0.0,0.0,97.5,2.5,0.0,0.0
Criticism,80.0,15.0,5.0,0.0,62.5,35.0,2.5,0.0,80.0,20.0,0.0,0.0
Warning,8.8,63.7,27.5,0.0,3.8,58.8,37.5,0.0,16.2,55.0,28.7,0.0
Reconciliation,1.2,12.5,85.0,1.2,2.5,30.0,67.5,0.0,1.2,12.5,86.2,0.0
Confrontation,22.5,68.8,8.8,0.0,23.8,68.8,7.5,0.0,22.5,68.8,8.8,0.0
Guidance,0.0,0.0,58.8,41.2,0.0,0.0,81.2,18.8,0.0,0.0,55.0,45.0
Religion,46.2,47.5,5.0,1.2,100.0,0.0,0.0,0.0,81.2,15.0,3.8,0.0
