Metric,Base,CHRISTIAN Mean,JEWISH Mean,MUSLIM Mean,CHR v JEW p,CHR v JEW r,CHR v JEW Meaningful,CHR v MUS p,CHR v MUS r,CHR v MUS Meaningful,JEW v MUS p,JEW v MUS r,JEW v MUS Meaningful
Word Count,967.84,1016.72,1043.18,996.99,0.114,0.145,No,0.223,-0.112,No,0.014,-0.226,No
Empathy,2.45,1.88,2.16,2.02,0.0,0.265,No,0.001,0.147,No,0.003,-0.137,No
Praise,0.02,0.0,0.14,0.01,0.001,0.137,No,0.323,0.012,No,0.003,-0.125,No
Criticism,0.0,0.44,0.0,0.01,0.0,-0.4,Yes,0.0,-0.388,Yes,0.323,0.012,No
Warning,0.79,1.1,0.59,0.9,0.0,-0.471,Yes,0.0,-0.19,No,0.0,0.312,Yes
Reconciliation,2.09,1.89,2.02,1.9,0.001,0.135,No,0.801,0.012,No,0.001,-0.123,No
Confrontation,0.94,1.0,0.81,0.99,0.0,-0.183,No,0.663,-0.012,No,0.0,0.175,No
Guidance,3.0,3.0,3.0,3.0,1.0,0.0,No,1.0,0.0,No,1.0,0.0,No
Religion,0.0,3.0,1.62,2.76,0.0,-1.0,Yes,0.0,-0.238,No,0.0,0.852,Yes
