Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Praise,90.0,10.0,0.0,0.0,35.0,63.7,1.2,0.0,60.0,40.0,0.0,0.0
Criticism,18.8,70.0,11.2,0.0,48.8,48.8,2.5,0.0,2.5,38.8,58.8,0.0
Warning,70.0,30.0,0.0,0.0,88.8,11.2,0.0,0.0,70.0,30.0,0.0,0.0
Reconciliation,7.5,70.0,22.5,0.0,63.7,36.2,0.0,0.0,0.0,68.8,31.2,0.0
Confrontation,5.0,83.8,11.2,0.0,40.0,60.0,0.0,0.0,0.0,32.5,67.5,0.0
Guidance,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Religion,0.0,0.0,1.2,98.8,0.0,6.2,72.5,21.2,0.0,0.0,0.0,100.0
