Metric,CHRISTIAN 0,CHRISTIAN 1,CHRISTIAN 2,CHRISTIAN 3,JEWISH 0,JEWISH 1,JEWISH 2,JEWISH 3,MUSLIM 0,MUSLIM 1,MUSLIM 2,MUSLIM 3
Empathy,0.0,28.7,71.2,0.0,0.0,52.5,46.2,1.2,0.0,51.2,48.8,0.0
Praise,95.0,5.0,0.0,0.0,97.5,2.5,0.0,0.0,98.8,1.2,0.0,0.0
Criticism,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Warning,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Reconciliation,0.0,0.0,61.3,38.8,0.0,0.0,85.0,15.0,0.0,0.0,66.2,33.8
Confrontation,100.0,0.0,0.0,0.0,98.8,1.2,0.0,0.0,97.5,2.5,0.0,0.0
Guidance,0.0,0.0,1.2,98.8,0.0,0.0,1.2,98.8,0.0,0.0,0.0,100.0
Religion,17.5,68.8,13.8,0.0,96.2,3.8,0.0,0.0,43.8,47.5,8.8,0.0
